12002-61-8;Ac2O3;Ac₂O₃;actinium(III) oxide;оксид актиния (III)
61279-70-7;AlBO3;AlBO₃;aluminium borate;борат алюминия
22359-97-3;AlBr;AlBr;aluminium monobromide;монобромид алюминия
7727-15-3;AlBr3;AlBr₃;aluminium tribromide;трибромид алюминия
13595-81-8;AlCl;AlCl;aluminium monochloride;монохлорид алюминия
22395-91-1;AlClF;AlClF;aluminium chloride fluoride;хлорид алюминия фторид
13596-11-7;AlClO;AlClO;aluminium chloride oxide;оксид алюминия хлорид
16603-84-2;AlCl3;AlCl₃;aluminium chloride;хлорид алюминия
13497-96-6;AlCl2F;AlCl₂F;aluminium chloride fluoride;хлорид алюминия фторид
7446-70-0;AlCl3;AlCl₃;aluminium trichloride;трихлорид алюминия
17992-03-9;AlCl4Cs;AlCl₄Cs;aluminium caesium tetrachloride;алюминий тетрахлорид цезия
13821-13-1;AlCl4K;AlCl₄K;potassium tetrachloroaluminate;тетрахлоралюминат калия
7784-16-9;AlCl4Na;AlCl₄Na;sodium tetrachloroaluminate;тетрахлоралюминат натрия
17992-02-8;AlCl4Rb;AlCl₄Rb;aluminium rubidium tetrachloride;алюминий тетрахлорид рубидия
13782-08-6;AlCl6K3;AlCl₆K₃;potassium hexachloroaluminate;гексахлоралюминат калия
60172-46-5;AlCl6Na3;AlCl₆Na₃;sodium hexachloroaluminate;гексахлоралюминат натрия
13595-82-9;AlF;AlF;aluminium monofluoride;монофторид алюминия
13596-12-8;AlFO;AlFO;aluminium monofluoride monoxide;монооксид алюминия монофторид
13569-23-8;AlF2;AlF₂;aluminium difluoride;дифторид алюминия
38344-66-0;AlF2O;AlF₂O;aluminium difluoride oxide;оксид алюминия дифторид
7784-18-1;AlF3;AlF₃;aluminium trifluoride;трифторид алюминия
14484-69-6;AlF4K;AlF₄K;potassium tetrafluoroaluminate;тетрафторалюминат калия
15138-76-8;AlF4Li;AlF₄Li;lithium tetrafluoroaluminate;тетрафторалюминат лития
13775-52-5;AlF6K3;AlF₆K₃;potassium hexafluoraluminate;гексафторалюминат калия
13821-20-0;AlF6Li3;AlF₆Li₃;lithium hexafluoroaluminate;гексафторалюминат лития
21645-51-2;Al(OH)3;Al(OH)₃;aluminium hydroxide;гидроксид алюминия
29977-41-1;AlI;AlI;aluminium monoiodide;моноиодид алюминия
7784-23-8;AlI3;AlI₃;aluminium triiodide;трииодид алюминия
12003-67-7;AlLiO2;AlLiO₂;lithium aluminate;алюминат лития
24304-00-5;AlN;AlN;aluminium nitride;нитрид алюминия
13473-90-0;Al(NO3)3;Al(NO₃)₃;aluminium nitrate;нитрат алюминия
1302-42-7;AlNaO2;AlNaO₂;sodium aluminate;алюминат натрия
14457-64-8;AlO;AlO;aluminium monoxide;монооксид алюминия
37361-47-0;AlOSi;AlOSi;aluminium silicon monoxide;монооксид кремния алюминия
11092-32-3;AlO2;AlO₂;aluminium(IV) oxide;оксид алюминия (IV)
20859-73-8;AlP;AlP;aluminium monophosphide;монофосфид алюминия
7784-30-7;AlPO4;AlPO₄;aluminium phosphate;фосфат алюминия
23330-86-1;AlTe;AlTe;aluminium monotelluride;монотеллурид алюминия
39297-18-2;AlTe2;AlTe₂;monoaluminium ditelluride;дителлурид моноалюминия
12004-06-7;Al2BeO4;Al₂BeO₄;beryllium aluminium oxide;оксид бериллия-алюминия
18898-34-5;Al2Br6;Al₂Br₆;dialuminium hexabromide;гексабромид диалюминия
14455-29-9;Al2(CO3)3;Al₂(CO₃)₃;aluminium carbonate;карбонат алюминия
74978-20-4;Al2Cl9K3;Al₂Cl₉K₃;potassium aluminium chloride;хлорид калия алюминия
1333-88-6;Al2CoO4;Al₂CoO₄;cobalt blue;синий кобальт
17949-86-9;Al2F6;Al₂F₆;aluminium fluoride;фторид алюминия
18898-35-6;Al2I6;Al₂I₆;aluminium iodide;иодид алюминия
12004-36-3;Al2O;Al₂O;dialuminium monoxide;монооксид диалюминия
12252-63-0;Al2O2;Al₂O₂;dialuminium dioxide;диоксид диалюминия
1344-28-1;Al2O3;Al₂O₃;aluminium oxide;оксид алюминия
1302-76-7;Al2O5Si;Al₂O₅Si;aluminium silicate;силикат алюминия
12141-46-7;Al2O5Si;Al₂O₅Si;aluminium silicate;силикат алюминия
12183-80-1;Al2O5Si;Al₂O₅Si;andalusite;андалузит
1332-58-7;Al2O7Si2;Al₂O₇Si₂;aluminium silicate;силикат алюминия
12004-45-4;Al2S;Al₂S;dialuminium monosulfide;моносульфид диалюминия
1302-81-4;Al2S3;Al₂S₃;aluminium sulfide;сульфид алюминия
12598-14-0;Al2Se;Al₂Se;dialuminium selenide;селенид диалюминия
12598-16-2;Al2Te;Al₂Te;dialuminium telluride;теллурид диалюминия
1302-84-7;Al3F14Na5;Al₃F₁₄Na₅;chiolite;хиолит
1299-86-1;Al4C3;Al₄C₃;aluminium carbide;карбид алюминия
12253-74-6;Al6BeO10;Al₆BeO₁₀;beryllium aluminium oxide;оксид бериллия-алюминия
1302-93-8;Al6O13Si2;Al₆O₁₃Si₂;mullite;муллит
53169-15-6;ArClF;ArClF;argon chloride fluoride;фторид хлористого аргона
163731-17-7;ArClH;ArClH;argon chloride hydride;гидрид хлористого аргона
163731-16-6;ArFH;ArFH;argon fluoride hydride;гидрид фтористого аргона
82868-10-8;AsBrO;AsBrO;arsenic oxybromide;оксибромид мышьяка
7784-33-0;AsBr3;AsBr₃;arsenic tribromide;трибромид мышьяка
14525-25-8;AsClO;AsClO;arsenic monoxide monochloride;монооксид мышьяка монохлорид
7784-34-1;AsCl3;AsCl₃;arsenic trichloride;трихлорид мышьяка
60646-36-8;AsCl3O;AsCl₃O;arsenic oxychloride;оксихлорид мышьяка
87198-15-0;AsCl4F;AsCl₄F;arsenic tetrachloride fluoride;фторид тетрахлорида мышьяка
7784-35-2;AsF3;AsF₃;arsenic trifluoride;трифторид мышьяка
7784-36-3;AsF5;AsF₅;arsenic pentafluoride;пятифтористый мышьяк
7784-42-1;AsH3;AsH₃;arsine;арсин
7784-45-4;AsI3;AsI₃;arsenic triiodide;трийодид мышьяка
12005-99-1;AsO;AsO;arsenic monoxide;монооксид мышьяка
12255-12-8;AsO2;AsO₂;arsenic dioxide;диоксид мышьяка
12255-33-3;AsP;AsP;arsenic monophosphide;монофосфид мышьяка
12511-95-4;AsP3;AsP₃;arsenic triphosphide;трифосфид мышьяка
12006-09-6;AsTl;AsTl;thallium arsenide;арсенид таллия
13770-56-4;As2I4;As₂I₄;arsenic diiodide;дийодид мышьяка
1327-53-3;As2O3;As₂O₃;arsenic trioxide;триоксид мышьяка
12512-03-7;As2P2;As₂P₂;arsenic diphosphide;дифосфид мышьяка
1303-28-2;As2O5;As₂O₅;arsenic pentoxide;пятиокись мышьяка
1303-32-8;As2S4;As₂S₄;arsenic tetrasulfide;тетрасульфид мышьяка
1303-34-0;As2S5;As₂S₅;arsenic pentasulfide;пентасульфид мышьяка
1303-35-1;As2Se;As₂Se;arsenic hemiselenide;гемиселенид мышьяка
1303-36-2;As2Se3;As₂Se₃;arsenic triselenide;триселенид мышьяка
1303-37-3;As2Se5;As₂Se₅;arsenic pentaselenide;пентаселенид мышьяка
83527-53-1;As3O4;As₃O₄;arsenic tetraoxide;тетраоксид мышьяка
12512-11-7;As3P;As₃P;arsenic(III) phosphide;фосфид мышьяка (III)
83527-54-2;As4O3;As₄O₃;tetraarsenic trioxide;триоксид тетрамышьяка
83527-55-3;As4O5;As₄O₅;tetraarsenic pentaoxide;пентаоксид тетрамышьяка
12512-13-9;As4S3;As₄S₃;tetraarsenic trisulfide;трисульфид тетрамышьяка
12279-90-2;As4S4;As₄S₄;tetraarsenic tetrasulfide;тетрасульфид тетрамышьяка
12588-90-8;AuBO;AuBO;gold monoboride monoxide;монооксид золота моноборид
10294-27-6;AuBr;AuBr;gold bromide;бромид золота
10294-28-7;AuBr3;AuBr₃;gold tribromide;трибромид золота
506-65-0;AuCN;AuCN;gold cyanide;цианид золота
10294-29-8;AuCl;AuCl;gold chloride;хлорид золота
13453-07-1;AuCl3;AuCl₃;gold trichloride;трихлорид золота
14720-21-9;AuF3;AuF₃;gold trifluoride;трифторид золота
10294-31-2;AuI;AuI;gold iodide;йодид золота
31032-13-0;AuI3;AuI₃;gold(III) iodide;йодид золота(III)
1303-52-2;Au(OH)3;Au(OH)₃;gold hydroxide;гидроксид золота
37043-71-3;AuTe;AuTe;gold telluride;теллурид золота
1303-58-8;Au2O3;Au₂O₃;gold trioxide;триоксид золота
1303-60-2;Au2S;Au₂S;gold sulfide;сульфид золота
1303-61-3;Au2S3;Au₂S₃;gold trisulfide;трисульфид золота
10294-32-3;Au2(SeO4)3;Au₂(SeO₄)₃;gold triselenate;триселенат золота
1303-62-4;Au2Se3;Au₂Se₃;gold triselenide;триселенид золота
12005-69-5;BAs;BAs;boron arsenide;арсенид бора
10294-33-4;BBr3;BBr₃;boron tribromide;трибромид бора
10294-34-5;BCl3;BCl₃;boron trichloride;треххлористый бор
7637-07-2;BF3;BF₃;boron trifluoride;трехфтористый бор
13517-10-7;BI3;BI₃;boron iodide;иодид бора
10043-11-5;BN;BN;boron nitride;нитрид бора
10043-35-3;B(OH)3;B(OH)₃;boric acid;борная кислота
20205-91-8;BP;BP;boron(III) phosphide;фосфид бора (III)
13308-51-5;BPO4;BPO₄;boron(III) orthophosphate;ортофосфат бора (III)
13701-67-2;B2Cl4;B₂Cl₄;boron chloride;хлорид бора
13965-73-6;B2F4;B₂F₄;Diboron tetrafluoride;Дибор тетрафторид
19287-45-7;B2H6;B₂H₆;boron hydride;гидрид бора
1303-86-2;B2O3;B₂O₃;boron(III) oxide;оксид бора (III)
12007-33-9;B2S3;B₂S₃;boron sulfide;сульфид бора
287-91-2;B2Se3;B₂Se₃;boron selenide;селенид бора
6569-51-3;B3N3H6;B₃N₃H₆;borazine;боразин
12069-32-8;B4C;B₄C;boron carbide;карбид бора
12004-04-5;Ba(AlO2)2;Ba(AlO₂)₂;barium aluminate;алюминат бария
125687-68-5;Ba(AsO3)2;Ba(AsO₃)₂;barium arsenite;арсенит бария
56997-31-0;Ba(AsO4)2;Ba(AsO₄)₂;barium arsenate;арсенат бария
12046-08-1;BaB6;BaB₆;barium hexaboride;гексаборид бария
10326-26-8;Ba(BrO3)2_H2O;Ba(BrO₃)₂_H₂O;barium bromate monohydrate;моногидрат бромата бария
10553-31-8;BaBr2;BaBr₂;barium bromide;бромид бария
13967-90-3;Ba(BrO3)2;Ba(BrO₃)₂;barium bromate;бромат бария
541-43-5;Ba(CHO2)2;Ba(CHO₂)₂;barium formate;формиат бария
542-62-1;Ba(CN)2;Ba(CN)₂;barium cyanide;цианид бария
151640-29-8;BaHfO3;BaHfO₃;barium hafnate;гафнат бария
10048-99-4;BaHgI4;BaHgI₄;barium tetraiodomercurate(II);тетраиодомеркурат бария (II)
13718-50-8;BaI2;BaI₂;barium iodide;иодид бария
10567-69-8;Ba(IO3)2;Ba(IO₃)₂;barium iodate;иодат бария
13718-58-6;Ba(IO4)2;Ba(IO₄)₂;barium periodate;периодат бария
27133-66-0;BaK2(CrO4)2;BaK₂(CrO₄)₂;barium potassium chromate;хромат бария-калия
7787-35-1;BaMnO4;BaMnO₄;barium manganate;манганат бария
7787-36-2;Ba(MnO4)2;Ba(MnO₄)₂;barium permanganate;перманганат бария
7787-37-3;BaMoO4;BaMoO₄;barium molybdate;молибдат бария
18810-58-7;BaN6;BaN₆;barium azide;азид бария
13465-94-6;Ba(NO2)2;Ba(NO₂)₂;barium nitrite;нитрит бария
10022-31-8;Ba(NO3)2;Ba(NO₃)₂;barium nitrate;нитрат бария
12009-14-2;Ba(NbO3)2;Ba(NbO₃)₂;barium niobate;ниобат бария
1304-28-5;BaO;BaO;barium oxide;оксид бария
17194-00-2;Ba(OH)2;Ba(OH)₂;barium hydroxide;гидроксид бария
1304-29-6;BaO2;BaO₂;barium peroxide;пероксид бария
13466-20-1;Ba(PO3)2;Ba(PO₃)₂;barium metaphosphate;метафосфат бария
21109-95-5;BaS;BaS;barium sulfide;сульфид бария
2092-17-3;Ba(SCN)2;Ba(SCN)₂;barium thiocyanate;тиоцианат бария
35112-53-9;BaS2O3;BaS₂O₃;barium thiosulfate;тиосульфат бария
17125-80-3;BaSiF6;BaSiF₆;barium hexafluorosilicate;гексафторсиликат бария
7787-39-5;BaSO3;BaSO₃;barium sulfite;сульфит бария
7787-43-7;BaSO4;BaSO₄;barium sulfate;сульфат бария
1304-39-8;BaSe;BaSe;barium selenide;селенид бария
13718-59-7;BaSeO3;BaSeO₃;barium selenite;селенит бария
7787-41-9;BaSeO4;BaSeO₄;barium selenate;селенат бария
13255-26-0;BaSiO3;BaSiO₃;barium metasilicate;метасиликат бария
1304-40-1;BaSi2;BaSi₂;barium silicide;силицид бария
12650-28-1;BaSi2O5;BaSi₂O₅;barium disilicate;дисиликат бария
12009-18-6;BaSnO3;BaSnO₃;barium stannate;станнат бария
58440-17-8;BaTeO3;BaTeO₃;barium tellurite;теллурит бария
28557-54-2;BaTeO4_3H2O;BaTeO₄_₃H₂O;barium tellurate trihydrate;тригидрат теллурата бария
12047-27-7;BaTiO3;BaTiO₃;barium titanate;титанат бария
10380-31-1;BaU2O7;BaU₂O₇;barium uranium oxide;оксид бария урана
7787-42-0;BaWO4;BaWO₄;barium tungstate;вольфрамат бария
12009-21-1;BaZrO3;BaZrO₃;barium zirconate;цирконат бария
12323-03-4;Ba2Na(NbO3)5;Ba₂Na(NbO₃)₅;barium sodium niobate;ниобат бария натрия
13466-21-2;Ba2P2O7;Ba₂P₂O₇;barium pyrophosphate;пирофосфат бария
12345-14-1;Ba3(CrO4)2;Ba₃(CrO₄)₂;barium chromate(V);хромат бария(V)
12047-79-9;Ba3N2;Ba₃N₂;barium nitride;нитрид бария
13517-08-3;Ba3(PO4)2;Ba₃(PO₄)₂;barium orthophosphate;ортофосфат бария
39416-30-3;Ba3(VO4)2;Ba₃(VO₄)₂;barium orthovandate;ортовандат бария
12228-40-9;BeB2;BeB₂;beryllium boride;борид бериллия
17440-85-6;Be(BH4)2;Be(BH₄)₂;beryllium borohydride;боргидрид бериллия
7787-46-4;BeBr2;BeBr₂;beryllium bromide;бромид бериллия
1111-71-3;Be(CHO2)2;Be(CHO₂)₂;beryllium formate;формиат бериллия
13106-47-3;BeCO3;BeCO₃;beryllium carbonate;карбонат бериллия
543-81-7;Be(C2H3O2)2;Be(C₂H₃O₂)₂;beryllium acetate;ацетат бериллия
10210-64-7;Be(C5H7O2)2;Be(C₅H₇O₂)₂;beryllium acetylacetonate;ацетилацетонат бериллия
7787-47-5;BeCl2;BeCl₂;beryllium chloride;хлорид бериллия
13597-95-0;Be(ClO4)2;Be(ClO₄)₂;beryllium perchlorate;перхлорат бериллия
7787-49-7;BeF2;BeF₂;beryllium fluoride;фторид бериллия
7787-53-3;BeI2;BeI₂;beryllium iodide;иодид бериллия
7787-55-5;Be(NO3)2;Be(NO₃)₂;beryllium nitrate;нитрат бериллия
1304-56-9;BeO;BeO;beryllium oxide;оксид бериллия
13327-32-7;Be(OH)2;Be(OH)₂;beryllium hydroxide;гидроксид бериллия
13598-22-6;BeS;BeS;beryllium sulfide;сульфид бериллия
13510-49-1;BeSO4;BeSO₄;beryllium sulfate;сульфат бериллия
506-66-1;Be2C;Be₂C;beryllium carbide;карбид бериллия
1302-52-9;Be3Al2(SiO3)6;Be₃Al₂(SiO₃)₆;beryl;берилл
1304-54-7;Be3N2;Be₃N₂;beryllium nitride;нитрид бериллия
14059-35-9;BiBO3;BiBO₃;bismuth(III) orthoborate;висмута (III) ортоборат
7787-58-8;BiBr3;BiBr₃;bismuth(III) bromide;висмута (III) бромид
22306-37-2;Bi(C2H3O2)3;Bi(C₂H₃O₂)₃;bismuth(III) acetate;висмута (III) ацетат
813-93-4;BiC6H5O7;BiC₆H₅O₇;bismuth(III) citrate;висмута (III) цитрат
7787-60-2;BiCl3;BiCl₃;bismuth(III) chloride;хлорид висмута (III)
7787-61-3;BiF3;BiF₃;bismuth(III) fluoride;висмута (III) фторид
7787-64-6;BiI3;BiI₃;bismuth(III) iodide;иодид висмута (III)
10035-06-0;Bi(NO3)3_5H2O;Bi(NO₃)₃_₅H₂O;bismuth(III) nitrate pentahydrate;пентагидрат нитрата висмута (III)
7787-59-9;BiOCl;BiOCl;bismuth(III) oxychloride;оксихлорид висмута (III)
7787-63-5;BiOI;BiOI;bismuth(III) oxyiodide;оксийодид висмута (III)
5892-10-4;(BiO)2CO3;(BiO)₂CO₃;bismuth oxycarbonate;оксикарбонат висмута
10049-01-1;BiPO4;BiPO₄;bismuth(III) orthophosphate;висмута (III) ортофосфат
13565-96-3;Bi2(MoO4)3;Bi₂(MoO₄)₃;bismuth(III) molybdate;молибдат висмута (III)
1304-76-3;Bi2O3;Bi₂O₃;bismuth(III) oxide;оксид висмута (III)
1345-07-9;Bi2S3;Bi₂S₃;bismuth(III) sulfide;сульфид висмута (III)
12068-69-8;Bi2Se3;Bi₂Se₃;bismuth(III) selenide;селенид висмута (III)
13863-41-7;BrCl;BrCl;bromine chloride;хлорид брома
15541-45-4;BrO3⁻;BrO₃⁻;bromate ion;ион бромата
58572-43-3;Br2O5;Br₂O₅;dibromine pentoxide;пятиокись диброма
75-71-8;CCl2F2;CCl₂F₂;dichlorodifluoromethane;дихлордифторметан
56-23-5;CCl4;CCl₄;carbon tetrachloride;четыреххлористый углерод
24331-09-7;C(CN)4;C(CN)₄;tetracyanomethane;тетрацианометан
75-69-4;CFCl3;CFCl₃;freon-11;фреон-11
67-66-3;CHCl3;CHCl₃;chloroform;хлороформ
75-45-6;CHClF2;CHClF₂;chlorodifluoromethane;хлордифторметан
454-50-2;CH(CN)3;CH(CN)₃;cyanoform;цианоформ
106-99-0;CH2CHCHCH2;CH₂CHCHCH₂;1,3-butadiene;1,3-бутадиен
463-51-4;CH2CO;CH₂CO;ketene;кетен
557-75-5;CH2CHOH;CH₂CHOH;ethenol;этанол
79-11-8;CH2ClCOOH;CH₂ClCOOH;chloroacetic acid;хлоруксусная кислота
75-09-2;CH2Cl2;CH₂Cl₂;dichloromethane;дихлорметан
593-70-4;CH2ClF;CH₂ClF;chlorofluoromethane;хлорфторметан
109-77-3;CH2(CN)2;CH₂(CN)₂;malononitrile;малононитрил
19710-56-6;CH2O;CH₂O;formaldehyde;формальдегид
463-57-0;CH2(OH)2;CH₂(OH)₂;methanediol;метандиол
107-21-1;CH2OHCH2OH;CH₂OHCH₂OH;ethylene glycol;этиленгликоль
74-99-7;CH3CCH;CH₃CCH;propyne;пропин
506-82-1;CH3CdCH3;CH₃CdCH₃;dimethylcadmium;диметилкадмий
107-01-7;CH3CHCHCH3;CH₃CHCHCH₃;2-butene;2-бутен
75-07-0;CH3CHO;CH₃CHO;acetaldehyde;ацетальдегид
79-05-0;CH3CH2CONH2;CH₃CH₂CONH₂;propanamide;пропанамид
79-09-4;CH3CH2COOH;CH₃CH₂COOH;propionic acid;пропионовая кислота
75-05-8;CH3CN;CH₃CN;acetonitrile;ацетонитрил
67-64-1;C3H6O;C₃H₆O;acetone;ацетон
79-20-9;CH3COOCH3;CH₃COOCH₃;methyl acetate;метилацетат
75-36-5;CH3COCl;CH₃COCl;acetyl chloride;ацетилхлорид
60-35-5;CH3CONH2;CH₃CONH₂;acetamide;ацетамид
108-05-4;CH3COOCHCH2;CH₃COOCHCH₂;vinyl acetate;винилацетат
140-11-4;CH3COOCH2C6H5;CH₃COOCH₂C₆H₅;benzyl acetate;бензилацетат
123-92-2;CH3COO(CH2)2CH(CH3)2;CH₃COO(CH₂)₂CH(CH₃)₂;isoamyl acetate;изоамилацетат
127-09-3;CH3COONa;CH₃COONa;sodium acetate;ацетат натрия
127-08-2;CH3COOK;CH₃COOK;potassium acetate;ацетат калия
563-67-7;CH3COORb;CH₃COORb;rubidium acetate;ацетат рубидия
108-24-7;(CH3CO)2O;(CH₃CO)₂O;acetic anhydride;уксусный ангидрид
74-87-3;CH3Cl;CH₃Cl;chloromethane;хлорметан
593-74-8;CH3HgCH3;CH₃HgCH₃;dimethylmercury;диметилртуть
74-88-4;CH3I;CH₃I;iodomethane;йодметан
115-10-6;CH3OCH3;CH₃OCH₃;dimethyl ether;диметиловый эфир
74-89-5;CH3NH2;CH₃NH₂;methylamine;метиламин
6827-26-5;CH3NO;CH₃NO;oxaziridine;оксазиридин
67-56-1;CH3OH;CH₃OH;methanol;метанол
865-33-8;CH3OK;CH₃OK;potassium methoxide;метоксид калия
865-34-9;CH3OLi;CH₃OLi;lithium methoxide;метоксид лития
124-41-4;CH3ONa;CH₃ONa;sodium methoxide;метоксид натрия
75-18-3;CH3SCH3;CH₃SCH₃;dimethyl sulfide;диметилсульфид
74-93-1;CH3SH;CH₃SH;methanethiol;метантиол
553-90-2;(CH3)2C2O4;(CH₃)₂C₂O₄;dimethyl oxalate;диметилоксалат
30260-66-3;(CH3)2NNH2;(CH₃)₂NNH₂;dimethyl hydrazine;диметилгидразин
124-40-3;(CH3)2NH;(CH₃)₂NH;dimethylamine;диметиламин
7314-30-9;(CH3)2S⁺CH2CH2COO⁻;(CH₃)₂S⁺CH₂CH₂COO⁻;dimethylsulfoniopropionate;диметилсульфониопропионат
507-20-0;(CH3)3CCl;(CH₃)₃CCl;t-butyl chloride;трет-бутилхлорид
75-65-0;(CH)3COH;(CH)₃COH;t-butyl alcohol;т-бутиловый спирт
110-05-4;(CH3)3COOC(CH3)3;(CH₃)₃COOC(CH₃)₃;di-t-butyl peroxide;ди-трет-бутилпероксид
75-50-3;(CH3)3N;(CH₃)₃N;trimethylamine;триметиламин
74-82-8;CH4;CH₄;methane;метан
127-07-1;CH4N2O2;CH₄N₂O₂;hydroxycarbamide;гидроксикарбамид
113-00-8;CH5N3;CH₅N₃;Guanidine;гуанидин
57-12-5;CN⁻;CN⁻;cyanide ion;цианид-ион
460-19-5;(CN)2;(CN)₂;cyanogen;циан
506-93-4;C(NH2)3NO3;C(NH₂)₃NO₃;guanidine nitrate;нитрат гуанидина
661-20-1;CNO⁻;CNO⁻;cyanate ion;цианат-ион
630-08-0;CO;CO;carbon monoxide;монооксид углерода
75-44-5;COCl2;COCl₂;phosgene;фосген
124-38-9;CO2;CO₂;carbon dioxide;углекислый газ
12144-05-7;CO3;CO₃;carbon trioxide;триоксид углерода
3812-32-6;CO3²⁻;CO₃²⁻;carbonate ion;карбонат-ион
75-15-0;CS2;CS₂;carbon disulfide;сероуглерод
116-14-3;C2F4;C₂F₄;tetrafluoroethylene;тетрафторэтилен
74-86-2;C2H2;C₂H₂;acetylene;ацетилен
107-22-2;C2H2O2;C₂H₂O₂;glyoxal;глиоксаль
75-01-4;C2H3Cl;C₂H₃Cl;vinyl chloride;винилхлорид
107-16-4;C2H3NO;C₂H₃NO;glycolonitrile;гликолонитрил
71-50-1;C2H3O2⁻;C₂H₃O₂⁻;acetate ion;ацетат-ион
74-85-1;C2H4;C₂H₄;ethylene;этилен
107-06-2;C2H4Cl2;C₂H₄Cl₂;ethylene dichloride;дихлорид этилена
61-82-5;C2H4N4;C₂H₄N₄;3-amino-1,2,4-triazole;3-амино-1,2,4-триазол
75-21-8;C2H4O;C₂H₄O;ethylene oxide;окись этилена
64-19-7;C2H4O2;C₂H₄O₂;acetic acid;уксусная кислота
74-96-4;C2H5Br;C₂H₅Br;bromoethane;бромэтан
75-04-7;C2H5NH2;C₂H₅NH₂;ethylamine;этиламин
56-40-6;C2H5NO2;C₂H₅NO₂;glycine;глицин
64-17-5;C2H5OH;C₂H₅OH;ethanol;этиловый спирт
109-89-7;(C2H5)2NH;(C₂H₅)₂NH;diethylamine;диэтиламин
917-58-8;C2H5OK;C₂H₅OK;potassium ethoxide;этоксид калия
141-52-6;C2H5ONa;C₂H₅ONa;sodium ethoxide;этоксид натрия
74-84-0;C2H6;C₂H₆;ethane;этан
67-68-5;C2H6OS;C₂H₆OS;dimethyl sulfoxide;диметилсульфоксид
141-43-5;C2H7NO;C₂H₇NO;ethanolamine;этаноламин
631-61-8;C2H7NO2;C₂H₇NO₂;ammonium acetate;ацетат аммония
107-35-7;C2H7NO3S;C₂H₇NO₃S;taurine;таурин
156-80-9;C3H3O4⁻;C₃H₃O₄⁻;malonate ion;малонат-ион
287-24-1;C3H3N;C₃H₃N;azete;азет
463-49-0;C3H4;C₃H₄;Propadiene;Пропадиен
288-32-4;C3H4N2;C₃H₄N₂;imidazole;имидазол
96-50-4;C3H4N2S;C₃H₄N₂S;aminothiazole;аминотиазол
127-17-3;C3H4O3;C₃H₄O₃;pyruvic acid;пировиноградная кислота
